ivol x_MIN3P z_MIN3P RSD
 596 1.877551 0.448980 0.000000
 597 1.918367 0.448980 0.000000
 598 1.959184 0.448980 0.000000
 599 2.000000 0.448980 0.000000
 600 0.000000 0.489796 0.000000
 601 0.040816 0.489796 0.000000
 602 0.081633 0.489796 0.000000
 603 0.122449 0.489796 0.000000
 604 0.163265 0.489796 0.000000
 605 0.204082 0.489796 0.000000
 606 0.244898 0.489796 0.000000
 607 0.285714 0.489796 0.000000
 608 0.326531 0.489796 0.000000
 609 0.367347 0.489796 0.000000
 610 0.408163 0.489796 0.000000
 611 0.448980 0.489796 0.000000
 612 0.489796 0.489796 0.000000
 613 0.530612 0.489796 0.000000
 614 0.571429 0.489796 0.000000
 615 0.612245 0.489796 0.000000
 616 0.653061 0.489796 0.146013
 617 0.693878 0.489796 0.000000
 618 0.734694 0.489796 0.000000
 619 0.775510 0.489796 0.000000
 620 0.816327 0.489796 0.000000
 621 0.857143 0.489796 0.000000
 622 0.897959 0.489796 0.000000
 623 0.938776 0.489796 0.164055
 624 0.979592 0.489796 0.000000
 625 1.020408 0.489796 0.000000
 626 1.061224 0.489796 0.000000
 627 1.102041 0.489796 0.000000
 628 1.142857 0.489796 0.000000
 629 1.183674 0.489796 0.000000
 630 1.224490 0.489796 0.000000
 631 1.265306 0.489796 0.000000
 632 1.306122 0.489796 0.000000
 633 1.346939 0.489796 0.000000
 634 1.387755 0.489796 0.000000
 635 1.428571 0.489796 0.000000
 636 1.469388 0.489796 0.000000
 637 1.510204 0.489796 0.000000
 638 1.551020 0.489796 0.000000
 639 1.591837 0.489796 0.000000
 640 1.632653 0.489796 0.000000
 641 1.673469 0.489796 0.000000
 642 1.714286 0.489796 0.000000
 643 1.755102 0.489796 0.000000
 644 1.795918 0.489796 0.000000
 645 1.836735 0.489796 0.000000
 646 1.877551 0.489796 0.000000
 647 1.918367 0.489796 0.000000
 648 1.959184 0.489796 0.000000
 649 2.000000 0.489796 0.000000
 650 0.000000 0.530612 0.000000
 651 0.040816 0.530612 0.000000
 652 0.081633 0.530612 0.000000
 653 0.122449 0.530612 0.000000
 654 0.163265 0.530612 0.000000
 655 0.204082 0.530612 0.000000
 656 0.244898 0.530612 0.000000
 657 0.285714 0.530612 0.000000
 658 0.326531 0.530612 0.000000
 659 0.367347 0.530612 0.000000
 660 0.408163 0.530612 0.000000
 661 0.448980 0.530612 0.000000
 662 0.489796 0.530612 0.000000
 663 0.530612 0.530612 0.000000
 664 0.571429 0.530612 0.000000
 665 0.612245 0.530612 0.000000
 666 0.653061 0.530612 0.228906
 667 0.693878 0.530612 0.000000
 668 0.734694 0.530612 0.000000
 669 0.775510 0.530612 0.000000
 670 0.816327 0.530612 0.000000
 671 0.857143 0.530612 0.000000
 672 0.897959 0.530612 0.000000
 673 0.938776 0.530612 0.233768
 674 0.979592 0.530612 0.000000
 675 1.020408 0.530612 0.000000
 676 1.061224 0.530612 0.000000
 677 1.102041 0.530612 0.026802
 678 1.142857 0.530612 0.000000
 679 1.183674 0.530612 0.000000
 680 1.224490 0.530612 0.035736
 681 1.265306 0.530612 0.000000
 682 1.306122 0.530612 0.000000
 683 1.346939 0.530612 0.000000
 684 1.387755 0.530612 0.000000
 685 1.428571 0.530612 0.000000
 686 1.469388 0.530612 0.000000
 687 1.510204 0.530612 0.000000
 688 1.551020 0.530612 0.000000
 689 1.591837 0.530612 0.000000
 690 1.632653 0.530612 0.000000
 691 1.673469 0.530612 0.000000
 692 1.714286 0.530612 0.000000
 693 1.755102 0.530612 0.000000
 694 1.795918 0.530612 0.000000
 695 1.836735 0.530612 0.000000
 696 1.877551 0.530612 0.000000
 697 1.918367 0.530612 0.000000
 698 1.959184 0.530612 0.000000
 699 2.000000 0.530612 0.000000
 700 0.000000 0.571429 0.000000
 701 0.040816 0.571429 0.000000
 702 0.081633 0.571429 0.000000
 703 0.122449 0.571429 0.000000
 704 0.163265 0.571429 0.000000
 705 0.204082 0.571429 0.000000
 706 0.244898 0.571429 0.000000
 707 0.285714 0.571429 0.000000
 708 0.326531 0.571429 0.000000
 709 0.367347 0.571429 0.000000
 710 0.408163 0.571429 0.000000
 711 0.448980 0.571429 0.000000
 712 0.489796 0.571429 0.000000
 713 0.530612 0.571429 0.000000
 714 0.571429 0.571429 0.000000
 715 0.612245 0.571429 0.002716
 716 0.653061 0.571429 0.316006
 717 0.693878 0.571429 0.001577
 718 0.734694 0.571429 0.000000
 719 0.775510 0.571429 0.000000
 720 0.816327 0.571429 0.000000
 721 0.857143 0.571429 0.000000
 722 0.897959 0.571429 0.004997
 723 0.938776 0.571429 0.299828
 724 0.979592 0.571429 0.006586
 725 1.020408 0.571429 0.000000
 726 1.061224 0.571429 0.000000
 727 1.102041 0.571429 0.080405
 728 1.142857 0.571429 0.000000
 729 1.183674 0.571429 0.000000
 730 1.224490 0.571429 0.080405
 731 1.265306 0.571429 0.000000
 732 1.306122 0.571429 0.000000
 733 1.346939 0.571429 0.000000
 734 1.387755 0.571429 0.000000
 735 1.428571 0.571429 0.000000
 736 1.469388 0.571429 0.000000
 737 1.510204 0.571429 0.000000
 738 1.551020 0.571429 0.000000
 739 1.591837 0.571429 0.000000
 740 1.632653 0.571429 0.000000
